Neighbourhood,Neighbourhood Id,Home Prices,Mid-Century Highrise Households,Mid-Century Highrise Population,Percent Mid-Century Highrise Households,Percent Mid-Century Highrise Population,Rent Bank Applicants,Social Housing Turnover,Social Housing Units,Social Housing Waiting List,PFR Community Space Use,PFR Permits Issued,PFR Program Free Registrations,PFR Program Registrations,TCHC Facility Amenities,Breast Cancer Screenings,Cervical Cancer Screenings,DineSafe Inspections,Female Fertility,Health Providers,Premature Mortality,Student Nutrition,Green Rebate Programs,Green Spaces,Pollutant Carcinogenic TEP Score,Pollutant Non-Carcinogenic TEP Score,Pollutants Released to Air,Tree Cover,Businesses,Child Care Spaces,Debt Risk Score,Home Prices,Local Employment,Social Assistance Recipients,Linguistic Diversity Index,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Seniors 55 and over,Seniors 65 and over,Child 0-14,Youth 15-24,Home Language Category,   Language - Chinese,   Language - Italian,   Language - Korean,   Language - Persian (Farsi),   Language - Portuguese,   Language - Russian,   Language - Spanish,   Language - Tagalog,   Language - Tamil,   Language - Urdu,City Beautification,City Grants Funding $,Diversity Index,Voter Turnout,Watermain Breaks
West Humber-Clairville,1,317508,690,1810,6.8,5.3,38,0.3125,952,557,673,2243,3,5512,6,57.02,60.52,10,59.92327882,101,223.8,1105,428,2.078835532,5737.87,18658529.73,1585690,2895860.846,2463,195,719,317508,58271,2912,0.741342682,30.09,34100,17095,17000,1865,1950,2155,2550,2855,2755,2360,2175,2445,2545,2360,1975,1780,1345,1070,895,585,410,8095,4330,5960,5400,32215,475,925,95,160,205,15,1100,850,715,715,191,520390,4.76954,34.7571,30
Mount Olive-Silverstone-Jamestown,2,251119,4110,13395,42.9,40.9,41,7,1146,1049,2650,4569,5370,5431,9,50.14,55.75,2,64.41002104,44,242.6,5132,250,1.048870056,29.76,2015,31,1303945.159,271,60,687,251119,3244,6561,0.815741029,4.6,32790,16015,16765,2575,2535,2555,2620,2400,2335,2355,2530,2500,2370,2050,1610,1360,1055,775,605,340,170,5935,2955,7665,5015,31140,275,750,60,350,115,50,820,345,1420,1075,55,10040,4.969163,28.1441,8
Thistletown-Beaumond Heights,3,414216,430,1260,13.4,12.4,7,1.333333333,447,270,1142,2092,208,2347,3,55.22,61.15,4,57.48086291,14,226.1,950,118,0.939107957,0,0,0,1499129.97,217,25,718,414216,1311,1276,0.766719586,3.4,10140,4920,5225,575,580,670,675,675,675,600,640,745,780,690,565,515,420,370,405,290,260,2825,1740,1815,1350,9455,95,705,35,115,105,15,570,130,120,300,25,158658,5.106365,40.5373,9
Rexdale-Kipling,4,392271,600,1050,15.2,10,19,4.2,432,186,3,287,0,63,1,54.28,64.69,0,45.58629776,6,282.7,180,121,0.240663012,0,37632,35920,756382.2761,144,75,721,392271,1178,1323,0.660805938,2.5,10485,5035,5455,495,520,570,665,650,645,600,645,745,825,865,710,630,455,415,385,360,300,3245,1905,1590,1315,9855,95,475,30,95,145,30,700,180,70,215,19,49210,5.20861,39.7091,5
Elms-Old Rexdale,5,233832,870,2305,27.3,24.1,14,1,463,239,74,2674,36,5874,4,55.15,61.54,1,61.392833,1,163.6,2030,73,0.730089694,0,309,309,997510.8066,67,60,692,233832,903,1683,0.685554389,2.9,9550,4615,4935,670,720,720,725,655,570,595,600,750,720,710,545,475,350,265,235,145,100,2110,1100,2110,1380,9190,90,510,55,285,80,30,670,195,60,140,17,42870,5.502152,34.0128,10
Kingsview Village-The Westway,6,292861,4465,12445,58.2,57.3,55,9.5,367,663,0,1,2547,33,2,57.08,59.07,4,59.80024969,24,181.9,1740,181,0.310186768,0,730.4,332,1642485.293,160,129,717,292861,2799,4348,0.795564999,5.1,21725,10310,11415,1515,1470,1480,1460,1435,1385,1285,1415,1490,1630,1430,1220,1095,845,780,750,605,440,5725,3405,4470,2925,20845,315,1310,185,475,305,150,970,255,215,1285,35,84210,5.306001,34.6504,21
Willowridge-Martingrove-Richview,7,511637,2890,7090,35.5,33.2,24,2,561,316,153,2796,59,6643,3,61.92,64.86,0,44.86638537,31,172.6,1325,259,0.348688375,0,0,0,1701247.392,169,165,750,511637,1843,2032,0.713079941,5.5,21345,10190,11145,1110,1070,1195,1320,1355,1235,1105,1190,1460,1570,1635,1355,1220,925,910,1025,895,760,7060,4505,3415,2660,20655,390,1745,320,105,370,130,760,250,145,485,50,32430,5.081778,37.744,5
Humber Heights-Westmount,8,491396,1370,2860,35,27,3,1.8125,669,155,502,796,0,166,9,58.84,67.05,0,44.99252616,4,207.9,380,114,0.431646057,0,15001173,72,1242746.671,82,140,753,491396,896,856,0.759220994,2.8,10580,4740,5840,495,495,485,615,530,520,560,585,670,800,750,655,595,460,505,555,570,750,4090,2850,1470,1145,9725,70,1090,85,45,315,200,405,40,5,55,24,34520,4.855956,36.1911,31
Edenbridge-Humber Valley,9,873268,1550,3630,25.7,24.3,10,0,0,139,1,1581,0,1809,0,64.79,69.06,2,30.9623431,10,193,0,129,0.544804291,0,0,0,2788998.758,153,30,761,873268,1334,751,0.676580533,5.5,14945,7075,7865,570,755,855,900,960,915,745,825,1045,1225,1250,1140,955,720,590,565,485,450,4870,2770,2180,1860,14620,225,900,190,40,310,355,745,105,5,15,27,7000,4.856194,36.4241,22
Princess-Rosethorn,10,971668,410,1180,11,10.5,4,0,0,41,0,540,0,2465,0,66.97,72.66,0,24.34077079,6,189.8,0,169,0.220794818,0,0,0,2013219.194,74,367,791,971668,1226,299,0.570456219,5.2,11200,5470,5730,405,610,735,950,800,430,370,460,770,1045,1070,925,710,505,395,370,335,320,3560,1930,1745,1750,10965,325,465,245,70,145,110,110,65,20,35,25,2550,4.488839,39.1461,19
Eringate-Centennial-West Deane,11,423034,1540,3775,22.3,20.1,3,0,104,101,1497,17324,103,14062,3,64.08,67.08,3,36.25192012,10,173.9,100,313,2.891261519,0,151423.4,48397,2351731.69,229,172,775,423034,3472,775,0.690045759,8.6,18805,8985,9835,830,845,1085,1370,1180,940,855,920,1355,1635,1660,1360,1155,885,840,840,615,465,6165,3650,2755,2545,18310,575,640,395,60,480,325,470,220,65,155,43,1530,5.103427,34.764,12
Markland Wood,12,505350,2050,3935,47.5,37.7,4,0,0,70,0,430,0,3117,0,66.49,69.87,0,30.31709203,14,199.1,0,182,0.224255343,423.36,28665,441,1046837.578,106,105,783,505350,1494,239,0.630600016,2.9,10435,4860,5585,335,475,545,590,575,490,385,455,700,860,910,830,700,590,510,555,495,420,4110,2575,1355,1170,10145,225,210,180,25,145,180,130,80,15,15,13,4200,4.662156,37.7516,11
Etobicoke West Mall,13,298426,2160,5560,52.7,50.9,12,0,99,149,0,2456,174,302,1,58.38,64.42,0,42.27642276,10,196.3,320,93,0.147624711,0,0,0,444920.612,146,60,738,298426,4340,1091,0.757834126,1.7,10925,5100,5830,585,565,630,720,705,650,625,700,795,920,870,700,570,370,370,380,365,435,3170,1900,1775,1415,10170,275,140,205,135,180,200,415,315,150,195,25,60300,5.282766,31.287,3
Islington-City Centre West,14,491678,4085,8890,25.1,23.4,16,5.181818182,1245,489,0,42,100,3562,17,61.02,66.48,12,46.91358025,128,222.4,744,391,0.51025012,1822.49,1163882.03,895785,2980850.369,2263,204,755,491678,45794,2534,0.728864028,16.4,38070,18035,20055,1935,1590,1640,2015,2315,2935,3085,2835,2745,3020,2815,2535,2055,1525,1310,1235,1200,1260,11135,6555,5165,4315,36420,1060,1125,1315,250,820,790,970,705,205,355,153,360895,5.258512,33.6886,32
Kingsway South,15,941223,160,295,4.5,3.2,0,0,0,16,199,2984,311,9891,0,71.8,74.95,0,41.16094987,9,130.1,75,108,0.295550892,0,1004,470,1384810.86,195,115,793,941223,2335,74,0.381137151,2.6,9175,4330,4845,465,630,635,530,485,305,340,505,745,795,725,695,615,450,355,345,265,305,3010,1695,1720,1015,9065,100,220,65,40,95,60,100,55,5,5,59,4000,4.197114,38.1076,4
Stonegate-Queensway,16,690949,320,640,3.1,2.6,12,0,129,280,416,3008,126,10222,0,62.59,70.24,4,43.48823867,66,178.1,200,306,0.755267148,103.68,41707,17931,2514072.745,595,283,760,690949,5932,1593,0.641219817,7.9,24690,11935,12745,1395,1235,1265,1295,1190,1270,1575,1865,1990,2190,2120,1790,1515,940,830,755,635,825,7295,3985,3895,2465,23980,330,755,135,65,555,635,455,260,25,35,86,154935.6563,4.755226,37.1248,24
Mimico,17,429941,2430,3880,17.8,14.6,36,8.111111111,947,547,199,4712,23,3873,11,56.12,65.23,8,44.52626411,22,250.7,525,241,0.716898274,114.85,266439.9,96927,1058931.427,619,195,741,429941,11549,2634,0.63893581,6.9,26550,12925,13625,1275,875,820,975,1360,2095,2565,2355,2065,2345,2240,1965,1700,1290,970,690,550,415,7590,3935,2970,2345,25665,755,675,235,155,590,735,775,475,45,40,125,145616,5.036239,34.0997,6
New Toronto,18,460811,385,490,7.4,4.5,18,0.96,1189,389,120,2378,71,4640,7,52.45,64.08,10,46.07329843,14,333.6,1005,109,0.593630152,0,98637,34919,522508.4252,368,90,719,460811,5289,1600,0.558908268,3.5,10905,5300,5600,565,460,455,615,775,755,810,860,855,965,895,780,625,420,360,300,170,235,2910,1485,1495,1385,10455,155,75,115,20,145,160,240,295,30,35,142,149954,4.930158,34.5868,6
Long Branch,19,459088,690,1220,15.3,12.7,20,0,106,177,14,854,3,2159,0,49.9,62.88,2,43.03147078,4,300.8,170,92,0.323676887,0,3475.8,2405,750363.4083,170,54,724,459088,1143,1024,0.54824702,2.3,9630,4745,4890,480,420,425,480,650,630,660,725,760,940,875,730,630,390,285,195,190,155,2565,1205,1315,1145,9330,110,105,25,30,160,175,270,225,15,30,82,0,4.791108,35.5761,11
Alderwood,20,504233,350,630,7.5,5.3,2,2.5,84,69,145,1221,47,3994,0,57.97,66.16,1,40.2359882,13,271,75,192,0.292452196,107370,3099019,64042,1086909.783,309,120,764,504233,4839,516,0.606808002,5,11900,5765,6130,610,495,555,650,685,680,835,780,890,1055,1070,885,715,500,395,405,355,325,3600,1990,1660,1325,11565,180,590,40,20,425,190,160,260,15,10,32,25500,4.510898,38.2793,20
Humber Summit,21,354381,525,1935,13.8,15.4,7,0.444444444,124,204,964,1687,0,1884,3,62.53,60.81,2,56.83060109,14,234.1,1770,84,0.686271868,7785.9,24648447.6,521916,1017894.543,1373,53,715,354381,17950,1659,0.815468009,7.9,12530,6180,6340,720,730,855,880,860,775,780,830,865,970,715,630,620,580,635,575,330,145,3545,2270,2315,1745,12045,125,2220,15,105,130,15,650,85,130,1160,51,0,4.215487,29.1012,7
Humbermede,22,314721,1130,3305,22.1,20.9,16,0.166666667,218,424,2597,3901,21,3022,0,59.85,61.43,0,62.16450216,16,180.3,2715,80,0.918793036,13030.8,2206558.6,699603,1018657.518,374,55,695,314721,5799,2590,0.79021258,4.4,15850,7700,8150,1125,1030,1005,1100,1160,1120,1145,1100,1190,1205,1080,825,760,520,525,440,305,215,3590,2000,3175,2265,15040,275,1270,115,40,115,25,1585,330,225,1045,37,72545,5.124448,30.3587,4
Pelmo Park-Humberlea,23,412618,195,520,6.5,6,4,0.333333333,176,149,685,1038,0,239,2,61.2,62.94,1,49.46727549,4,210.9,0,89,0.636607684,21.35,6928.37,2735,1068349.305,152,0,735,412618,2855,798,0.701375163,4.2,8705,4200,4505,475,470,530,620,515,480,495,570,665,750,700,540,420,345,435,325,220,160,2465,1505,1475,1145,8380,170,1505,25,30,410,5,605,120,115,25,18,41215,4.712372,39.1851,2
Black Creek,24,235143,3960,10490,54.7,47.6,27,5.818181818,1432,829,3631,6093,3101,172,18,54.35,59.38,8,63.50817823,36,214.8,3610,82,0.410027147,0,14395.8,6055,742477.3148,306,175,661,235143,3856,6408,0.747526043,3.4,22060,10260,11795,1805,1720,1585,1675,1705,1630,1405,1395,1570,1540,1430,1095,920,760,665,515,340,280,4580,2570,5100,3390,20975,745,1050,25,95,120,105,1310,310,725,185,42,279719,5.456871,41.842,3
Glenfield-Jane Heights,25,304262,2985,8745,29.8,27.9,30,4.269230769,1587,949,4928,6448,3956,2333,16,60.44,61.63,10,55.82177385,93,225.9,5855,177,0.808033611,260,8434,860,1209851.201,587,173,678,304262,8323,7263,0.77360505,5.2,31395,14755,16635,2110,2135,2290,2445,2105,2050,1865,1905,2185,2285,2175,1640,1490,1220,1190,1110,765,435,7840,4735,6565,4545,30080,1445,3475,40,215,355,90,3695,485,485,125,56,337479,5.086977,38.3011,20
Downsview-Roding-CFB,26,400486,2685,6095,20.3,17.6,36,2.777777778,527,1060,2286,4136,1899,4603,3,60.39,63.3,58,58.01649567,88,227.1,4377,235,0.852075706,2169.2,427209.6,256337,2455776.666,985,238,692,400486,20150,5618,0.752538706,14.9,34650,16700,17965,2220,1905,1915,2050,2185,2490,2655,2380,2585,2795,2560,2020,1630,1285,1255,1195,890,615,8910,5240,6040,4250,33265,730,5040,80,205,835,180,3470,1565,200,130,88,294849,5.036294,32.3401,26
York University Heights,27,359372,4065,9845,39.4,35.5,43,2,511,727,1853,4529,601,3231,1,59.93,58.9,46,52.58659469,67,186.5,4065,167,0.887333748,205788.1,962405.5,203624,2067412.314,2643,156,698,359372,42885,4720,0.801404621,13.2,27715,13580,14125,1645,1385,1380,1750,3280,2815,2120,1800,1820,1940,1750,1335,1150,870,890,825,545,395,6010,3545,4405,5040,26340,1750,2280,265,370,285,430,1475,930,1175,580,203,86906.49219,5.313754,27.4232,13
Rustic,28,493442,1225,3355,33.7,33.7,9,3.117647059,1435,349,303,528,2876,2532,3,62.86,62.96,0,64.03162055,2,210.3,1182,56,0.19744749,0,0,0,550083.8931,48,26,692,493442,550,1924,0.712584247,2.1,9950,4475,5480,765,730,750,670,635,630,575,600,670,695,605,470,410,395,395,445,300,220,2630,1760,2235,1300,9625,140,1510,10,30,440,20,680,110,190,65,11,0,4.799548,38.1088,4
Maple Leaf,29,540741,725,2150,20.4,21.1,5,0,175,160,0,2,0,0,0,57.9,62.01,0,50.20576132,4,192.9,700,82,0.167833165,970.56,65715,1011,803509.8331,47,90,721,540741,737,919,0.776084272,2.5,10195,4935,5260,555,495,565,560,580,640,665,670,800,805,725,550,500,445,490,505,370,265,3100,2055,1640,1140,9605,100,2295,15,20,480,40,680,400,105,70,15,0,4.152809,40.1153,8
Brookhaven-Amesbury,30,352428,2935,7620,45.7,42.8,36,2.777777778,589,603,950,2822,40,2655,3,55.65,62.39,1,56.4206269,45,218.3,1030,113,0.405956959,1695.2,34254684.4,4409,834834.6989,466,54,687,352428,4825,3420,0.732061329,3.5,17785,8315,9470,1315,1110,1130,1230,1215,1360,1255,1140,1300,1420,1350,1000,770,545,515,450,370,305,3950,2195,3540,2460,16950,465,1210,30,55,985,45,1580,480,250,115,33,23200,5.337514,35.9503,4
Yorkdale-Glen Park,31,421045,1130,2730,21.6,18.6,6,7.7,798,292,58,1299,15,1399,0,60.88,63.93,9,44.03409091,46,212.3,1385,246,0.236609421,747.84,150769,82979,692811.6556,1468,82,729,421045,24685,1502,0.772607586,5.9,14685,6750,7940,640,690,815,835,845,890,895,860,1050,1085,1030,850,765,610,690,755,690,700,5070,3450,2140,1690,13685,640,2950,50,70,810,85,625,605,120,60,60,156665,4.82349,37.9178,13
Englemount-Lawrence,32,577889,1465,2785,18,12.6,9,2.210526316,1688,379,787,3368,2470,3829,6,60.03,63.4,2,62.99516908,8,230.5,2895,379,0.20662549,0,0,0,924958.528,175,105,730,577889,3495,2733,0.647173537,3.6,22080,9675,12415,1675,1530,1550,1500,1320,1315,1470,1450,1380,1370,1365,1160,955,715,655,665,715,1305,6170,4050,4765,2820,20580,285,545,65,155,335,600,630,1900,45,45,43,116955,5.041456,32.3684,13
Clanton Park,33,605585,390,755,7,5.2,6,1.363636364,549,256,0,85,0,338,1,60.71,65.88,23,49.40312213,48,183.6,0,126,0.097684055,318.72,21580,332,1017592.787,357,130,740,605585,5011,734,0.680043956,4.2,14610,6750,7865,950,760,870,880,835,890,1115,1150,1155,1220,1055,860,770,480,450,400,390,400,3730,2100,2575,1725,13985,250,775,115,60,120,585,365,1705,25,15,27,163435,4.876642,32.933,11
Bathurst Manor,34,568877,1230,2625,20.3,17,6,0.5,385,232,271,1274,0,1169,2,61.46,64.64,9,42.58484426,41,161.7,0,165,1.311810051,0.72,116138,54508,1807970.566,244,105,745,568877,3370,1018,0.768958389,4.8,15435,7380,8050,850,710,750,885,925,1000,1120,1030,1170,1220,1190,925,840,565,505,540,560,655,4570,2805,2315,1805,14755,340,870,240,200,210,1695,475,840,30,15,43,19074,4.790258,32.4815,20
Westminster-Branson,35,372380,6355,15251,63.2,59.9,15,4.2,530,1077,2542,6575,273,7368,1,59.75,62.28,1,38.19444444,5,187.5,0,159,0.958620906,161.28,10920,168,1381709.352,83,45,730,372380,3027,2906,0.815904177,3.7,25445,11700,13755,1245,1080,1210,1500,1685,1765,1715,1720,1800,1855,1970,1625,1580,950,1075,895,865,925,7905,4710,3525,3165,24250,480,110,680,555,55,7435,630,2165,70,75,42,189000,4.531544,26.9938,2
Newtonbrook West,36,557468,2610,6375,30.3,27.7,1,2,261,670,1036,3185,13,2991,0,60.78,61.49,10,37.66478343,55,154.1,650,210,0.16749045,19.2,1300,20,1473787.509,483,98,737,557468,9091,2124,0.863726623,4.7,23050,10890,12165,1045,820,990,1255,1775,1890,1660,1630,1665,1965,1910,1450,1320,910,840,765,595,595,6455,3700,2850,3045,21890,1660,645,2015,1820,95,3260,385,1815,45,125,67,165431,4.875923,31.9066,22
Willowdale West,37,541247,1070,1630,16,10.9,1,9.25,527,176,3145,3522,243,3078,0,65.83,65.32,17,42.27093873,31,180.2,0,179,0.145828928,0,0,0,1169622.482,363,248,766,541247,7110,515,0.802465231,2.9,15005,7085,7920,670,505,495,565,1140,1345,1310,1080,1010,980,1045,1030,860,675,640,600,545,505,4860,2970,1665,1700,14535,2020,365,1175,1280,75,975,235,235,40,50,57,4700,4.958528,37.0513,12
Lansing-Westgate,38,646460,880,1765,14.7,12.1,3,0,0,169,2306,4818,175,14606,0,65.57,69.03,5,49.19653894,37,147.4,276,156,0.983552249,0,15001411,86,2818530.253,488,75,758,646460,12254,468,0.673235447,5.4,14640,6950,7695,845,725,745,795,965,1185,1290,1170,1175,1150,1035,855,750,515,405,360,330,360,3565,1960,2300,1755,14285,995,165,580,630,90,770,320,460,15,45,65,23060,4.964076,36.0309,10
Bedford Park-Nortown,39,1191040,1120,1795,12.9,7.7,5,2,236,141,1772,2618,17,371,1,70.12,71.82,13,47.47663551,50,114.9,150,211,0.091683395,264.96,18009.2,314,2323264.953,676,60,776,1191040,8187,484,0.438565178,5.5,23185,10720,12470,1465,1620,1630,1695,1240,965,1180,1485,1730,1890,1805,1570,1310,930,750,685,625,625,6535,3650,4705,2930,22655,430,410,110,245,90,300,335,1010,5,15,135,61153,4.598896,34.6094,29
St.Andrew-Windfields,40,1363202,955,2195,14.8,12.2,3,0,0,133,0,2533,0,1866,0,71.59,68.61,0,26.54867257,34,147.1,60,206,0.541326375,0,1599,1599,3122841.342,591,124,774,1363202,13023,606,0.692811985,7.3,17955,8610,9345,690,880,1155,1480,1290,965,775,940,1425,1650,1475,1335,1180,885,660,450,415,270,5200,2690,2745,2780,17485,2605,170,805,865,70,290,330,265,75,85,40,114745,4.946863,30.7276,18
Bridle Path-Sunnybrook-York Mills,41,1849084,0,0,0,0,0,0,0,24,0,2109,0,963,0,70.44,71.44,2,25.87346553,8,108,50,85,1.732820954,0,16709.4,7653,5509235.049,58,0,788,1849084,11756,37,0.454934522,8.8,8715,4180,4530,285,480,645,765,595,315,270,335,565,810,765,715,645,470,340,265,235,200,2870,1515,1425,1360,8505,615,110,50,260,30,130,65,110,5,0,26,106500,4.537839,35.0177,10
Banbury-Don Mills,42,613647,2570,4755,21.8,17.7,13,1.142857143,304,279,2150,9186,0,3318,0,67.07,67.37,10,39.10582909,65,156.1,300,305,1.279334149,254,4797521,36229,4258009.808,834,255,776,613647,25614,1030,0.701282364,10,26910,12485,14430,1180,1205,1325,1440,1280,1420,1500,1705,2275,2305,1970,1635,1610,1280,1225,1140,1215,1235,9340,6095,3685,2705,25780,3355,140,510,875,110,305,360,515,145,220,100,358634,5.069054,36.8457,12
Victoria Village,43,365107,2345,5410,32.2,31.5,15,7.083333333,891,459,26,2836,2483,1546,2,60.88,62.32,2,53.1655225,9,240.2,725,156,0.682855326,10.56,51070.2,38841,1541958.559,431,134,730,365107,7035,2593,0.751125721,4.7,17180,7960,9230,1030,835,870,920,980,1170,1210,1175,1310,1360,1220,1030,915,720,720,655,535,530,5135,3195,2735,1910,16140,605,200,100,510,85,90,350,540,465,385,45,24340,5.357632,36.3495,13
