Neighbourhood,Neighbourhood Id,Home Prices,Mid-Century Highrise Households,Mid-Century Highrise Population,Percent Mid-Century Highrise Households,Percent Mid-Century Highrise Population,Rent Bank Applicants,Social Housing Turnover,Social Housing Units,Social Housing Waiting List,PFR Community Space Use,PFR Permits Issued,PFR Program Free Registrations,PFR Program Registrations,TCHC Facility Amenities,Breast Cancer Screenings,Cervical Cancer Screenings,DineSafe Inspections,Female Fertility,Health Providers,Premature Mortality,Student Nutrition,Green Rebate Programs,Green Spaces,Pollutant Carcinogenic TEP Score,Pollutant Non-Carcinogenic TEP Score,Pollutants Released to Air,Tree Cover,Businesses,Child Care Spaces,Debt Risk Score,Home Prices,Local Employment,Social Assistance Recipients,Linguistic Diversity Index,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Seniors 55 and over,Seniors 65 and over,Child 0-14,Youth 15-24,Home Language Category,   Language - Chinese,   Language - Italian,   Language - Korean,   Language - Persian (Farsi),   Language - Portuguese,   Language - Russian,   Language - Spanish,   Language - Tagalog,   Language - Tamil,   Language - Urdu,City Beautification,City Grants Funding $,Diversity Index,Voter Turnout,Watermain Breaks
Flemingdon Park,44,204104,5120,13890,63.7,62.7,16,13.6,717,1141,3209,5621,6804,492,5,54.31,56.89,4,55.54624197,8,199.4,5660,89,0.763803897,0,0,0,1007142.635,185,203,721,204104,5088,4348,0.877982435,2.5,22165,10615,11555,1555,1420,1480,1465,1620,1675,1615,1595,1630,1705,1500,1160,1055,820,695,555,370,245,4945,2710,4455,3085,20915,1235,30,235,1360,60,325,550,1100,1030,1635,56,195515,5.265965,34.1503,2
Parkwoods-Donalda,45,553698,5355,12920,40.7,37.3,63,0.875,786,712,583,5332,4,2201,4,61.64,65.5,1,42.63013699,32,196.8,2320,331,0.852834331,0,9486,1964,3066863.368,209,441,731,553698,2802,3664,0.720621189,7.5,34620,16380,18230,2040,1920,2140,2350,2360,2255,2325,2440,2650,2935,2615,2040,1680,1320,1125,1015,845,580,8605,4880,6110,4720,33350,2255,290,535,1150,140,490,1095,965,475,610,52,0,5.420609,37.5207,10
Pleasant View,46,463859,1250,3095,22.6,19.2,9,0,0,205,1659,4405,0,2928,0,68.93,64.32,0,37.01996928,11,132,0,301,0.155828919,0,0,0,840921.3955,124,90,767,463859,1162,791,0.852900002,3,16145,7775,8360,740,705,825,950,1060,1090,855,1080,1385,1365,1200,1030,985,825,785,610,400,235,4875,2875,2275,2010,15555,5040,675,165,505,115,125,190,250,190,170,26,10000,4.54848,34.1945,15
Don Valley Village,47,478489,4345,10870,44.6,40.7,16,0.25,156,572,2625,6984,0,5761,4,64.43,64.27,0,44.13729555,58,146.1,1385,307,0.2393423,0,0,0,1379175.085,373,229,756,478489,5640,2137,0.86426814,4.1,26735,12670,14060,1505,1365,1290,1580,1795,1805,1935,2200,2295,2155,1790,1500,1410,1130,1020,850,610,530,7025,4125,4165,3370,25480,6655,95,615,1885,65,585,620,905,345,320,46,182483,5.01032,30.5458,8
Hillcrest Village,48,484743,1500,2690,22.9,15.2,0,6.875,1028,252,409,2319,88,1007,9,69.6,61.75,15,25.68008705,19,126.9,0,356,0.386535486,35.52,251002,246384,1554513.434,424,180,775,484743,11806,694,0.844524361,5.3,17650,8240,9430,555,690,855,1175,1305,955,745,950,1385,1475,1260,1250,1235,975,920,825,615,495,6310,3830,2090,2475,17195,7580,50,440,670,35,200,210,125,130,135,68,42980,4.253976,29.6446,24
Bayview Woods-Steeles,49,784397,1350,2775,28.6,20.5,2,6.333333333,170,181,721,1818,36,9697,4,70.49,64.21,1,21.72284644,10,171.5,380,237,0.910849666,0,0,0,1873417.781,93,180,777,784397,2207,666,0.816541785,4.1,13535,6260,7275,420,545,675,945,945,760,490,625,910,1075,1015,920,1000,745,745,605,490,615,5135,3230,1650,1880,12870,3695,175,745,795,55,255,155,80,75,60,53,0,4.492105,30.7914,13
Newtonbrook East,50,626626,485,1015,7.8,6.2,1,2.6,300,256,243,1627,19,1064,0,63.89,61.09,14,30.12820513,50,173.1,28,181,0.180901122,130.56,28254.8,6461,1563158.503,400,30,757,626626,4357,685,0.855223854,4.1,16425,7805,8620,585,525,635,830,1360,1525,1250,1040,1085,1195,1240,1105,1060,725,650,555,530,565,5160,3015,1730,2195,15545,3950,405,1770,2045,70,335,150,230,40,50,57,82593,4.511325,29.3582,17
Willowdale East,51,540911,1745,3695,8.9,8.2,3,2,208,424,985,3409,39,4706,5,63.79,60.85,23,36.19265472,64,147.4,0,344,0.158443044,0,542,542,1884788.953,849,209,759,540911,16026,1189,0.856126209,5,45025,21365,23690,2010,1475,1520,2375,4095,5120,4715,3705,3410,3400,3190,2745,2210,1490,1195,890,740,715,9995,5030,4995,6495,43655,12225,360,4480,4940,220,1290,755,380,140,260,135,547629,4.484754,27.4662,20
Bayview Village,52,533089,885,2120,11.9,12,4,3,122,178,0,2384,0,0,2,68.01,65.4,2,31.40877598,128,117.1,0,183,1.121266472,0,0,0,2397850.774,460,60,768,533089,9377,626,0.80702336,5.2,17675,8245,9420,665,620,765,955,1190,1675,1415,1345,1335,1310,1240,1135,1050,765,680,530,490,525,5170,2995,2040,2130,17075,3800,110,1000,1525,105,265,295,290,75,85,59,26300,4.681225,33.5428,15
Henry Farm,53,372110,2200,6215,53.5,54.8,8,0,0,359,0,1566,0,379,0,61.6,63.13,2,47.87339268,77,150.1,0,80,0.212016651,0,931,931,685339.2263,717,105,736,372110,18728,1502,0.857459432,2.6,11340,5405,5935,780,745,660,660,835,995,1010,1025,920,865,710,580,465,330,275,230,150,110,2155,1105,2180,1485,10705,1655,35,200,805,35,210,220,520,195,380,31,38270,5.02249,34.4285,4
O'Connor-Parkview,54,538203,1655,3800,22.4,20.7,21,2.294117647,693,516,80,391,29,1205,0,62.87,64.78,5,49.09222948,18,230.3,1250,219,1.071735422,1326.36,118050.2,18416,2038276.859,346,75,725,538203,4677,2984,0.585864484,4.9,18315,8705,9610,1080,1050,1055,1165,1145,1080,1160,1175,1475,1595,1580,1260,980,710,565,465,400,375,4780,2535,3190,2325,17775,435,255,60,280,100,110,295,565,270,375,92,154014.0781,4.917806,42.511,12
Thorncliffe Park,55,313618,5110,14785,76.1,76.9,11,1.444444444,551,1105,686,2490,109,884,0,49.73,54.51,7,87.64769066,18,211.2,1450,19,0.596240135,422.7,297984.76,139415,745856.3539,449,21,724,313618,9847,3818,0.83828852,3.1,19225,9275,9965,2050,1675,1340,1120,1085,1505,1600,1680,1540,1190,990,800,705,520,455,380,280,325,3485,1985,5070,2220,18150,215,30,75,960,45,105,385,780,245,4855,57,118631.3516,4.699943,43.4614,5
Leaside-Bennington,56,1071823,290,485,4.4,2.9,5,0,89,58,861,4619,21,4902,0,67.52,74.51,0,42.12314225,10,147.4,0,220,0.797010748,163.2,11162,282,2166689.571,313,274,791,1071823,2901,239,0.299546269,4.8,17010,8170,8855,980,1250,1185,1150,880,560,670,1075,1525,1535,1465,1115,925,725,465,400,385,690,4700,2665,3420,2025,16460,340,150,85,95,70,80,160,100,10,15,86,15395,4.256323,49.1137,18
Broadview North,57,518555,2855,5570,50.9,48.2,9,1.2,238,326,0,1,0,0,0,59.24,64.02,13,46.32426989,10,226.9,421,85,0.399753886,0,0,0,664464.2361,129,57,728,518555,1286,1306,0.695815386,1.7,11565,5440,6120,665,490,430,495,640,920,1025,1050,1050,995,830,730,690,455,375,305,250,180,2970,1545,1590,1135,11080,415,95,50,65,60,120,250,315,70,50,59,84205.64844,5.053267,39.002,3
Old East York,58,581398,390,720,10.1,7.9,4,0.5,78,113,136,307,91,4992,0,61.88,67.94,3,40.14336918,3,233.3,610,127,0.293560692,0,0,0,719730.3848,134,88,756,581398,1017,569,0.559600088,2.3,9115,4435,4690,460,470,435,440,475,500,600,660,745,905,760,670,600,360,330,290,210,215,2680,1410,1365,910,8795,345,185,35,35,50,35,90,220,5,60,91,0,4.612934,38.4143,0
Danforth-East York,59,518568,525,945,7.6,5.7,8,11.5,287,231,0,339,73,288,0,62.77,69.92,5,49.86757473,33,220.3,0,262,0.070298427,137.28,9295,143,409082.5071,167,214,763,518568,3715,1049,0.592479488,2.2,16710,7985,8725,1085,795,720,750,795,955,1495,1500,1440,1425,1245,1140,990,650,550,475,405,290,4480,2355,2610,1545,16195,1095,490,60,75,120,90,215,260,30,175,66,95990,4.774311,40.0439,3
Woodbine-Lumsden,60,440700,530,820,15.2,10.5,5,11,201,134,235,5162,110,3042,0,59.48,66.49,1,40.97859327,1,260.5,261,122,0.098423722,0,0,0,320284.0376,56,95,748,440700,558,582,0.492190963,1.2,7825,3745,4080,420,345,310,360,405,470,640,645,670,735,700,590,470,305,285,205,170,90,2130,1065,1060,770,7600,580,125,25,20,55,35,105,170,0,40,11,7000,4.545929,37.3999,1
Taylor-Massey,61,254151,4435,10710,70.5,68.7,11,3.333333333,353,919,430,1754,1775,103,1,58.04,58.35,5,65.09248327,9,272.2,1890,81,0.198037905,0,48.4,22,328675.3563,157,60,721,254151,1399,2635,0.772955853,1.1,15595,7665,7920,1195,1000,835,760,1000,1245,1295,1435,1350,1235,1085,900,635,415,375,315,260,235,3140,1615,3040,1765,14800,580,45,90,180,60,110,185,355,260,675,37,422335.6563,5.079342,36.5922,0
East End-Danforth,62,535867,1505,2600,16.5,12.5,14,0.90625,1000,599,162,847,9,8000,3,60.69,67.34,14,44.74074074,46,330.7,60,284,0.126726419,0,0,0,782726.8386,516,330,741,535867,3636,1901,0.432606741,2.6,20840,9985,10865,1320,1145,1070,1135,1095,1330,1580,1875,1875,1930,1695,1405,1195,720,495,375,315,295,4815,2215,3525,2235,20075,940,205,90,100,135,75,270,375,45,350,213,58834.71875,4.681753,38.6117,1
The Beaches,63,751945,150,220,1.6,1,17,0.333333333,193,143,233,4143,503,5921,0,64.61,73.55,5,41.24742571,24,221.2,0,323,0.614909147,175.68,152295,58703,1416720.313,531,167,764,751945,5694,672,0.245249178,3.6,21135,10040,11100,1265,1275,1145,1045,1080,1120,1460,1745,1990,1990,1740,1615,1325,900,505,390,270,245,5255,2320,3695,2120,20820,245,175,45,40,75,85,180,85,25,10,275,0,4.246457,38.6814,2
Woodbine Corridor,64,521549,200,405,3.8,3.5,7,0.703703704,841,242,30,244,5,2273,4,61.21,71.37,2,53.83838384,11,323.1,975,214,0.104449371,0,5000000,1,669942.2878,146,214,749,521549,1896,906,0.401583171,1.6,11705,5640,6070,890,595,550,525,590,675,995,1230,1125,1150,935,795,590,345,235,210,170,85,2405,1030,2055,1120,11410,615,120,45,25,75,35,135,70,25,85,80,54630,4.696706,40.0025,2
Greenwood-Coxwell,65,490920,365,625,6.1,4.4,7,0.96969697,919,385,136,532,0,2772,3,57.98,65.02,11,45.44734759,23,308.8,2030,249,0.087044064,0,1358,1358,530193.1089,315,94,738,490920,2342,1762,0.56769881,1.7,14075,6885,7195,975,595,590,655,835,980,1295,1420,1200,1200,1125,980,660,460,400,310,240,185,3210,1585,2160,1480,13660,1910,155,35,35,70,20,210,115,55,400,142,16160,4.632516,34.5637,2
Danforth,66,585093,360,405,9.2,4.3,2,8.75,715,153,0,0,0,2969,0,58.84,67.2,3,46.33204633,53,276,320,140,0.001837121,0,0,0,282212.74,414,152,755,585093,2786,626,0.569736679,1.1,9450,4605,4845,635,505,400,445,565,640,780,825,725,740,705,600,510,410,325,270,190,175,2465,1355,1555,1010,9165,625,525,45,20,70,25,100,65,10,105,183,111394,4.698348,39.0049,2
Playter Estates-Danforth,67,842668,720,965,20.3,12.6,2,2.6,192,103,0,1,0,0,2,67.11,72.07,13,34.48806774,37,206.1,0,78,0.059229148,487.68,33020,508,313433.735,301,162,757,842668,2243,288,0.442350904,0.9,7655,3760,3890,355,420,365,355,375,600,630,590,680,640,600,525,470,320,220,175,140,200,2045,1065,1135,725,7345,205,95,30,40,35,40,140,60,10,15,125,58720,4.50882,44.258,1
North Riverdale,68,818592,590,805,11.5,6.6,4,0,163,161,18,1362,38,3975,2,63.38,71.11,31,38.91402715,31,274.5,753,151,0.32216634,0,0,0,596433.9365,327,233,767,818592,4033,503,0.449889201,1.8,12195,5965,6220,670,630,595,610,610,795,905,1045,1040,1235,1065,820,730,480,370,265,185,160,2995,1455,1885,1200,11820,1180,130,25,10,45,55,140,60,5,30,33,22200,4.532417,41.5651,1
Blake-Jones,69,571246,300,620,9.4,8,4,2.875,658,204,0,116,0,0,2,57.35,66.87,15,48.83895131,12,288,933,119,0.017038934,0,850,850,244636.6881,133,30,739,571246,1789,1021,0.576802592,0.9,7765,3815,3945,520,400,440,440,505,575,640,660,650,655,635,435,380,250,205,135,145,80,1615,790,1370,950,7495,830,70,20,50,55,20,85,55,30,90,18,476224.0313,4.821722,36.9598,1
South Riverdale,70,537087,215,380,2,1.5,7,2.375,1313,836,881,6168,4988,4646,3,53.75,64.22,23,49.55539534,36,282.8,2152,388,2.776069153,553.85,2172613.3,347833,1556802.282,1197,224,746,537087,12378,2695,0.603981615,9.6,25640,12885,12775,1510,980,945,1165,1560,2085,2560,2650,2365,2310,1940,1505,1280,790,620,575,445,350,5590,2810,3455,2710,24595,5850,120,70,80,250,70,270,250,25,75,135,368529,4.533352,35.0799,18
Cabbagetown-South St.James Town,71,537025,2480,3800,37.4,31.5,11,2.551724138,1434,358,45,705,54,1150,0,57.32,63.39,9,26.59033079,18,394.1,1840,102,0.246257383,227.52,20015405,241,627970.2393,290,0,744,537025,2513,986,0.490475707,1.4,12050,6670,5385,355,240,275,335,755,1115,1130,985,1015,1250,1035,870,855,615,445,305,265,200,3550,1815,880,1085,11345,530,90,105,50,85,160,305,260,60,35,200,615203.5,4.699411,47.0053,0
Regent Park,72,484444,1190,2655,30.9,26.5,4,7.25,2591,650,364,434,828,0,13,53.38,55.03,1,52.11505922,1,391,930,25,0.014814295,0,0,0,122445.1066,143,30,701,484444,1931,2491,0.792616847,0.6,10010,5370,4635,620,660,755,770,850,845,830,775,870,865,720,520,370,210,140,110,65,40,1460,565,2025,1615,8955,1130,30,35,45,65,35,190,95,520,125,92,385816.6875,5.084042,48.4002,3
Moss Park,73,457524,2375,3435,26.3,21.1,14,3.542372881,3133,1573,3,843,1683,60,19,54.91,60.33,7,37.83560512,19,614.6,2443,70,0.098698665,0,8732,3692,212564.1373,841,110,709,457524,12051,3510,0.573821946,1.4,16310,9460,6850,590,370,330,480,1270,1990,1975,1645,1475,1465,1340,1135,860,570,355,215,130,115,3395,1395,1275,1750,14645,750,90,90,130,105,185,320,180,90,90,557,1436781.875,5.116499,33.8134,6
North St.James Town,74,489366,6660,13070,72.4,73.3,35,15,1715,1127,0,4,2538,103,6,50.98,50.74,6,42.97466272,74,324,614,14,0.025782697,0,0,0,61616.24497,243,55,705,489366,6705,2681,0.806518762,0.4,17825,9260,8575,920,745,645,680,1720,2295,1990,1530,1500,1495,1240,895,770,445,330,270,175,190,3060,1385,2315,2400,16865,1035,50,325,265,135,305,550,1560,915,340,84,246976.3438,5.374177,37.4289,0
Church-Yonge Corridor,75,410703,7855,11380,43.1,40.1,19,1.235294118,3653,1022,0,142,0,0,8,59.46,60.64,57,23.09250506,89,354.6,364,144,0.061520785,42.24,4397.6,1092,118541.4243,2443,45,736,410703,54044,3090,0.595594896,1.4,28345,15685,12660,590,270,245,835,3650,5000,3795,2525,2175,2105,1830,1495,1230,905,650,465,345,205,5325,2580,1120,4475,27115,2145,220,495,345,235,540,815,370,85,160,1204,3252344.5,5.066421,28.3497,10
Bay Street Corridor,76,457787,3650,6670,32,34.5,6,0.2,521,271,0,91,0,0,5,58.94,55.13,87,36.96248856,187,262.7,225,114,0.144315022,0,322498.4,135026,139974.8607,4324,30,755,457787,185891,678,0.752553801,1.8,19345,9315,10030,795,345,235,665,3075,3695,2760,1535,1055,995,850,785,750,530,460,320,285,210,3375,1840,1370,3745,18720,3220,155,815,495,165,265,390,175,70,220,1411,2297121,5.174795,21.047,8
Waterfront Communities-The Island,77,416759,3310,5340,12.3,12.3,15,0.701754386,3990,672,181,1558,375,3104,9,61.7,65.89,44,39.35372187,40,203,1423,187,2.567218437,63.1,260967.8,92338,1379860.875,2899,130,748,416759,88058,2864,0.58757678,7.6,43365,21735,21630,1290,560,560,815,3870,9410,7865,4775,2940,2375,2185,1845,1610,1185,810,595,380,275,6670,3215,2405,4695,41720,3730,365,615,640,350,645,1010,475,120,290,1798,7312438,5.151933,45.563,14
Kensington-Chinatown,78,477989,2770,4195,32.1,22.7,5,0.710280374,2597,781,0,96,1971,67,9,55.39,57.81,80,31.51750973,82,218.7,1642,87,0.066166444,0,1648,1156,186615.1575,1883,247,728,477989,37205,2523,0.753034223,1.5,18500,9125,9365,570,435,515,960,2680,2610,1770,1250,1145,1230,1135,865,755,525,560,605,450,445,4175,2570,1530,3645,17685,6070,65,180,125,340,95,325,190,15,60,1178,2398500.75,4.604016,34.5843,1
University,79,773920,490,730,14.9,9.4,1,2,359,140,0,4,0,0,3,57.79,60.54,49,28.92018779,59,256.7,1748,46,0.005829924,26415.68,2555056.6,27906,237726.2955,483,15,748,773920,10967,259,0.615891901,1.4,7790,3810,3985,185,165,125,320,1370,1200,745,510,425,445,375,365,365,275,230,240,180,300,1920,1185,490,1670,7175,925,95,175,45,330,60,160,40,20,20,691,578422.4375,4.741803,24.7327,3
Palmerston-Little Italy,80,781568,175,220,2.8,1.6,1,6,262,170,79,419,4,2577,0,61.76,64.73,4,25.82375479,57,209.5,990,130,0.03884142,0,0,0,291292.5258,521,159,742,781568,3262,665,0.572853477,1.4,13735,6830,6920,475,390,360,390,1370,2275,1640,1135,1045,815,735,660,595,525,460,385,300,210,3140,1890,1200,1755,13380,895,815,125,40,1195,55,375,55,0,35,464,266919.5,4.922344,36.4518,3
Trinity-Bellwoods,81,723909,0,0,0,0,1,0.333333333,42,261,491,1534,0,5966,6,58.03,63.44,7,34.94060098,34,192.5,945,157,0.17939058,0,558,558,239145.5294,715,332,742,723909,5380,1415,0.705007689,1.7,16805,8310,8485,705,525,495,545,1370,2240,1835,1440,1310,1305,985,850,770,580,590,565,390,275,4030,2400,1730,1910,16080,3115,540,30,30,2885,30,190,60,5,15,593,712631.625,4.395302,30.9212,4
Niagara,82,398281,1305,2115,10.3,10.1,10,1.631578947,2052,334,0,1650,0,0,0,58.6,67,68,36.54694392,15,258.8,455,115,0.361737869,0,18111.8,4819,282844.0009,591,65,747,398281,15621,1246,0.499369006,3.1,21000,10320,10685,725,350,285,365,1400,4120,4505,2800,1725,1275,980,805,620,420,255,205,105,50,2455,1025,1380,1765,20125,1035,215,165,160,725,195,565,230,25,60,440,1209299.875,5.064208,34.1422,1
Dufferin Grove,83,502736,790,1495,15.4,13.1,4,0,41,291,0,441,0,0,0,58.37,61.98,13,37.26346434,8,191.8,1161,108,0.078001154,0,30993,6067,250633.6213,375,80,721,502736,4072,1303,0.707595257,1.4,11450,5685,5760,510,415,370,410,845,1475,1335,1025,920,775,785,615,560,425,350,290,180,155,2550,1380,1310,1260,11115,690,215,180,15,1955,70,550,110,65,80,176,449980,4.996398,32.3442,1
Little Portugal,84,514960,375,620,7.1,5.1,6,3.166666667,386,239,259,394,2,4202,3,59.46,62,6,37.22812342,18,272.9,547,106,0.016534602,0,17357,4259,115638.8164,344,55,727,514960,2597,983,0.658093905,1.2,12055,5910,6150,450,405,375,425,805,1485,1370,1105,935,840,750,615,610,475,470,405,290,240,3140,1910,1230,1245,11680,945,170,35,30,3085,45,260,65,10,5,229,105075,4.3379,31.0218,3
South Parkdale,85,500054,5130,10080,48.4,47.4,21,1.214285714,1545,1194,3171,5136,3388,336,17,48.6,56.51,9,40.78692158,14,424.9,1723,61,0.45833344,0,44369.2,43033,364045.7564,564,70,695,500054,7617,4473,0.703912878,2.3,21245,10810,10435,980,785,800,910,1500,2395,2400,2075,1760,1545,1580,1215,1075,715,535,400,290,285,4495,2195,2565,2415,19440,505,85,80,105,300,165,535,820,380,60,316,490933.9375,5.434838,38.0424,5
Roncesvalles,86,581425,1160,2530,17.1,16.8,6,7,501,409,898,1478,819,3781,5,52.96,65.25,7,41.9379845,61,281,1340,177,0.039249551,149.76,10140,156,317461.8945,540,150,741,581425,2885,2268,0.593308877,1.5,15050,7430,7620,970,815,700,555,780,1290,1540,1515,1460,1250,1055,825,670,465,395,325,235,200,3105,1610,2460,1340,14620,555,115,65,20,505,90,200,145,160,35,358,87060,5.011874,40.1122,0
High Park-Swansea,87,622206,1230,2165,12.4,10,2,5.714285714,473,227,155,5276,51,4218,2,63.61,70.85,1,41.86915888,87,187.7,0,252,1.832356973,0,0,0,2750624.56,448,229,770,622206,6594,1680,0.538544589,5.3,21750,10030,11720,1235,1100,935,870,1030,1655,1895,1880,1865,1705,1575,1370,1235,885,655,560,565,730,6000,3380,3255,1910,20850,320,210,130,90,210,385,355,120,5,30,245,133221.3594,4.861611,44.7865,5
High Park North,88,609689,5060,8530,47.7,40,7,2.2,661,369,42,1551,86,5455,1,55.93,67.42,2,38.77179287,27,192.5,35,174,0.058883025,0,0,0,716638.9917,254,241,759,609689,2577,1054,0.646882074,1.9,21300,10100,11190,1100,805,750,785,1330,2380,2250,1975,1755,1595,1475,1365,1155,735,505,450,385,470,5085,2565,2645,2120,20700,590,195,420,165,325,930,605,170,75,45,171,170605.6563,5.075945,41.8664,1
Runnymede-Bloor West Village,89,666204,0,0,0,0,1,0,6,46,0,7,0,2746,0,62.76,73.77,2,52.36220472,24,224.1,360,175,0.012453777,0.02,4748.4,1363,530461.1918,334,220,777,666204,2421,251,0.466757723,1.6,9635,4565,5065,735,600,490,495,470,470,730,910,875,845,755,630,535,310,215,190,190,165,2250,1085,1825,970,9420,190,165,40,15,115,50,140,70,5,10,85,12920,4.720005,43.0176,0
Junction Area,90,532997,20,25,0.3,0,11,4.333333333,59,343,0,577,0,0,0,54.95,64.68,1,47.77921518,9,257.1,80,178,0.09520802,1628.64,184373.2,109791,477509.2854,631,30,733,532997,6528,1155,0.609884639,2.6,14015,6820,7210,775,625,615,785,900,1275,1390,1285,1200,1195,1100,890,670,430,305,230,195,160,2880,1320,2025,1680,13355,565,175,65,25,780,105,500,290,25,35,268,16100,5.118478,37.1691,1
Weston-Pellam Park,91,382119,385,460,8.8,3.8,6,5.272727273,695,332,0,152,0,0,6,56.66,61.93,0,45.95274007,6,236.7,1638,97,0.036219298,0,123,123,160318.6378,178,84,698,382119,1214,1754,0.739573478,1.5,12015,6015,5990,660,655,715,825,815,965,955,915,925,1020,935,765,610,380,275,260,200,135,2630,1250,2035,1645,11475,310,665,15,10,2770,25,860,130,30,20,53,265299.1563,4.626214,36.0791,4
