Neighbourhood,Neighbourhood Id,Home Prices,Mid-Century Highrise Households,Mid-Century Highrise Population,Percent Mid-Century Highrise Households,Percent Mid-Century Highrise Population,Rent Bank Applicants,Social Housing Turnover,Social Housing Units,Social Housing Waiting List,PFR Community Space Use,PFR Permits Issued,PFR Program Free Registrations,PFR Program Registrations,TCHC Facility Amenities,Breast Cancer Screenings,Cervical Cancer Screenings,DineSafe Inspections,Female Fertility,Health Providers,Premature Mortality,Student Nutrition,Green Rebate Programs,Green Spaces,Pollutant Carcinogenic TEP Score,Pollutant Non-Carcinogenic TEP Score,Pollutants Released to Air,Tree Cover,Businesses,Child Care Spaces,Debt Risk Score,Home Prices,Local Employment,Social Assistance Recipients,Linguistic Diversity Index,Total Area,Total Population,Pop - Males,Pop - Females,Pop 0 - 4 years,Pop 5 - 9 years,Pop 10 - 14 years,Pop 15 -19 years,Pop 20 - 24 years,Pop  25 - 29 years,Pop 30 - 34 years,Pop 35 - 39 years,Pop 40 - 44 years,Pop 45 - 49 years,Pop 50 - 54 years,Pop 55 - 59 years,Pop 60 - 64 years,Pop 65 - 69 years,Pop 70 - 74 years,Pop 75 - 79 years,Pop 80 - 84 years,Pop 85 years and over,Seniors 55 and over,Seniors 65 and over,Child 0-14,Youth 15-24,Home Language Category,   Language - Chinese,   Language - Italian,   Language - Korean,   Language - Persian (Farsi),   Language - Portuguese,   Language - Russian,   Language - Spanish,   Language - Tagalog,   Language - Tamil,   Language - Urdu,City Beautification,City Grants Funding $,Diversity Index,Voter Turnout,Watermain Breaks
Corso Italia-Davenport,92,502819,0,0,0,0,5,0.222222222,93,263,218,1689,0,6245,0,60.99,64.17,2,41.79620035,52,174.2,960,173,0.126546218,0,0,0,336321.8106,420,105,708,502819,2111,1294,0.73469712,1.9,13735,6710,7035,705,620,625,840,950,1155,1185,1015,1015,1135,1060,865,640,480,470,405,345,210,3425,1925,1965,1800,13180,295,1855,25,15,3035,20,1040,190,10,20,214,179895,4.425372,36.7577,3
Dovercourt-Wallace Emerson-Juncti,93,512789,560,960,4,2.8,16,1.15,1375,955,175,1993,40,4826,10,58.41,62.86,22,42.56825076,27,216.4,1934,380,0.236699059,1.4,25424,10190,409561.3,890,179,719,512789,5077,3563,0.719049512,3.7,34635,17225,17415,1670,1345,1430,1720,2635,3770,3495,3080,2650,2675,2425,1920,1595,1235,1070,870,610,445,7750,4250,4455,4355,33270,2255,1260,230,70,6535,160,1395,345,285,145,398,742066.125,4.98361,33.948,8
Wychwood,94,656868,785,1210,14.2,8.7,4,1.346153846,1154,331,0,1043,0,0,6,61.35,67.12,7,38.85088919,35,207.6,130,162,0.064319715,0,5104.4,4502,455742.7193,379,84,745,656868,5143,911,0.601919111,1.7,13985,6460,7525,730,610,540,650,870,1010,1085,995,1100,1000,875,860,755,580,510,535,500,770,4525,2915,1885,1515,12855,630,555,105,50,795,85,540,205,15,0,252,380650,5.14814,44.1965,3
Annex,95,993491,5005,6945,32.2,23.8,6,2,779,464,0,353,0,168,6,61.06,65.1,35,25.44437787,198,231,430,235,0.11249685,53.76,3772,188,789795.1516,2328,201,755,993491,25719,1150,0.488581691,2.8,29180,13745,15415,865,695,635,870,3045,4190,2995,2085,1900,1860,1715,1680,1805,1385,1100,840,685,795,8305,4805,2195,3895,27380,1370,520,375,270,355,315,555,135,30,90,945,1753400,4.951476,37.4325,11
Casa Loma,96,1083381,1895,3035,35.6,28.9,4,0,101,87,0,2540,25,3883,0,68.88,68.26,5,29.78723404,77,166.5,0,80,0.173001423,75.84,5631,575,893260.9166,258,142,771,1083381,3283,189,0.402803118,1.9,10485,4885,5600,375,375,405,405,655,1070,820,665,700,745,680,765,830,615,455,330,305,275,3595,1995,1160,1065,10255,255,125,35,50,70,140,220,145,5,10,89,217430,4.731636,38.1693,3
Yonge-St.Clair,97,995616,2655,3940,39.2,33.8,4,0,0,74,0,2531,0,0,0,70.1,71.8,14,29.69885774,56,142,0,74,0.02470925,0,0,0,428626.4357,468,20,771,995616,7858,283,0.395199103,1.2,11655,5235,6420,395,345,235,285,645,1355,1125,900,860,755,715,760,820,755,525,445,365,395,4075,2505,985,925,11445,250,120,55,120,55,180,230,95,10,10,101,40040,4.579535,39.3099,0
Rosedale-Moore Park,98,1265389,3170,4735,31.6,22.9,9,1.333333333,573,186,0,3611,0,0,0,67.82,71.59,19,27.99736495,40,133.7,0,170,0.793670753,0,0,0,2557866.411,683,162,777,1265389,19160,499,0.369962628,4.6,20635,9410,11220,690,875,925,1065,1195,1405,1150,1125,1420,1560,1605,1565,1555,1370,980,825,710,640,7640,4525,2495,2250,20250,515,160,150,180,80,185,310,185,5,40,234,110260,4.497581,38.2953,8
Mount Pleasant East,99,815247,1555,2280,21.1,14.3,5,6.333333333,333,101,0,147,0,1603,2,68.05,75.37,55,50.53892216,47,170.3,15,213,0.087790047,0,10000976.8,446,1407432.303,463,82,777,815247,4741,288,0.405103095,3.1,15980,7415,8565,1110,910,775,690,785,1040,1250,1405,1430,1355,1135,1040,955,700,490,375,265,275,4110,2105,2790,1445,15690,380,125,105,150,75,180,215,135,20,20,161,20774,4.528641,40.1053,1
Yonge-Eglinton,100,975449,1275,1740,24.5,16.4,4,0,149,76,881,2046,26,6122,0,66.34,73.88,9,42.58962012,62,160.6,280,130,0.127074744,0,0,0,581770.2508,690,45,759,975449,11746,189,0.395542599,1.6,10580,5045,5530,620,530,400,445,675,1080,1055,885,850,740,625,735,655,470,255,240,160,165,2670,1285,1545,1110,10380,280,100,145,60,45,85,235,115,10,10,190,289475.375,4.521739,37.9066,2
Forest Hill South,101,1585984,1380,1990,28.8,18.2,3,0,233,55,0,1,0,0,0,71.33,71.29,3,28.93309222,25,150.5,0,92,0.120135194,663.36,44915,691,1122215.131,175,30,775,1585984,1945,134,0.360459075,2.5,10925,4980,5950,365,425,530,760,820,810,665,585,645,780,820,820,755,580,445,365,355,405,3730,2155,1320,1590,10520,180,95,30,65,40,120,155,245,0,0,60,12165.49023,4.591483,33.91,5
Forest Hill North,102,957688,2990,5960,55.9,47.8,10,2.4,325,185,0,355,0,0,2,67.09,70.29,3,40.42950514,12,152.1,0,91,0.108893972,48.96,3363.4,73,601604.5268,144,110,749,957688,897,633,0.598462442,1.6,12475,5585,6895,695,690,625,745,780,855,915,975,1020,960,950,805,765,470,350,285,245,340,3270,1700,2015,1530,12155,225,145,85,65,85,485,475,750,5,20,72,0,4.825068,35.714,3
Lawrence Park South,103,1215390,290,455,5.1,3,1,1.4,113,80,0,2337,0,0,0,72.6,77.01,0,39.46459413,7,128.4,0,176,0.193230593,0.02,16,1,1808680.345,167,140,784,1215390,1634,240,0.302540626,3.2,15075,7170,7895,780,1045,1070,1170,1020,790,715,915,1145,1280,1255,1130,925,660,385,285,280,185,3825,1780,2895,2210,14855,270,155,95,90,35,110,170,205,5,5,99,111080,4.355668,37.6312,3
Mount Pleasant West,104,520032,8410,12910,47.9,45.2,11,1.310344828,1443,449,0,1703,0,0,13,61.25,67.72,21,24.55706634,135,191.6,333,99,0.047800447,238.08,16120,248,327893.457,1129,255,753,520032,13311,1343,0.596975983,1.3,28590,12895,15700,855,550,585,730,1965,4755,4125,2765,2125,1940,1640,1410,1305,1015,840,615,545,815,6540,3825,2000,2715,27655,1080,225,610,990,260,740,900,495,85,70,248,191581.4063,5.086278,36.9905,4
Lawrence Park North,105,980831,0,20,0,0,0,2,110,54,0,1448,0,1811,1,68.7,76.86,8,63.34716459,54,175.7,0,245,0.040585045,193.92,13130,202,1126524.597,381,212,790,980831,3624,166,0.332256057,2.3,14540,6915,7625,1205,1170,965,840,660,525,820,1265,1425,1245,1095,855,795,530,355,285,260,270,3330,1690,3320,1505,14205,355,180,165,90,60,135,140,145,10,15,93,33907,4.424805,41.0962,3
Humewood-Cedarvale,106,800442,1410,2390,21.4,16.9,8,0.375,445,247,0,1215,3,796,4,63.49,69.42,1,40.07662835,10,157.8,100,124,0.223360898,0,0,0,689493.7412,139,108,747,800442,1345,698,0.519463521,1.9,14110,6440,7670,785,670,600,635,1095,1435,1315,1195,1105,1055,970,875,765,525,380,260,235,205,3230,1590,2055,1730,13680,220,350,120,50,255,140,605,780,15,20,74,13905,5.024598,44.6269,2
Oakwood Village,107,482040,1170,2110,13.7,10,9,2.75,966,578,0,3,0,4027,3,59.48,62.36,20,49.22173275,9,229,1443,194,0.049076804,0,0,0,332628.152,255,168,713,482040,1573,2412,0.710655156,2.2,21075,10005,11070,1125,985,1030,1080,1275,1500,1630,1680,1700,1620,1525,1315,1155,945,820,705,510,450,5925,3440,3130,2355,20205,570,1810,110,40,1970,165,1405,1070,25,35,141,156617.4063,5.12517,36.0092,0
Briar Hill-Belgravia,108,373937,2105,4540,36.3,31.8,9,2.666666667,328,309,0,286,0,0,1,59.82,60.08,16,44.25216316,30,182.2,190,101,0.079464109,0.01,4517.7,2611,169474.2495,477,25,719,373937,3446,1432,0.811962441,1.8,14295,6590,7720,695,605,715,770,890,1075,1180,1115,1175,1290,1190,925,790,470,465,370,320,245,3580,1870,2010,1665,13680,345,1020,65,40,1100,600,800,1190,80,25,109,90130,5.31869,30.8211,2
Caledonia-Fairbank,109,400532,75,235,2.1,2.4,4,0,16,164,1575,97,0,0,0,59.85,62.95,2,44.75853946,1,233.8,1010,104,0.029773559,0,0,0,325125.1954,92,75,700,400532,944,1153,0.747543152,1.5,9855,4825,5025,555,480,550,645,655,765,785,680,725,840,790,630,510,370,320,225,185,140,2385,1240,1600,1305,9430,110,780,15,10,2745,20,765,395,20,20,47,0,4.377647,33.9266,1
Keelesdale-Eglinton West,110,373029,165,245,4.1,2.3,4,2.8,349,251,1,1485,0,344,3,56.84,61.42,3,47.92368126,13,209.5,1385,88,0.135732361,144.5,8074.6,2750,348052.1995,266,25,707,373029,1644,1653,0.755119216,1.7,10640,5225,5410,555,520,610,690,695,725,760,720,805,905,850,645,590,450,365,340,250,150,2810,1570,1700,1385,10195,225,775,5,10,2755,25,740,310,65,60,77,347909,4.565908,28.5705,3
Rockcliffe-Smythe,111,353967,2590,5200,29.1,23.3,17,3.470588235,1252,564,273,1088,0,26,6,60.03,62.59,0,51.85185185,12,262.5,2505,252,0.552890991,28.8,2573,653,1538308.167,314,110,710,353967,3345,3422,0.740570254,5.1,22270,10750,11520,1290,1230,1305,1455,1470,1515,1500,1435,1555,1785,1680,1420,1220,975,805,700,530,385,6070,3425,3820,2925,21500,475,700,65,55,2540,120,2035,365,50,80,75,105926,5.419384,36.3593,8
Beechborough-Greenbrook,112,440179,185,410,6.9,6.3,10,1.1,537,293,63,373,91,4087,3,59.9,63.34,1,54.28051002,7,297.7,450,41,0.207527138,254.4,21135,3911,471027.1467,128,22,677,440179,4140,1478,0.641303435,1.8,6490,2990,3500,455,390,395,415,455,535,495,425,480,535,470,365,305,225,185,155,115,95,1435,765,1235,865,6245,45,410,15,5,795,10,285,170,90,15,44,3046781.25,5.112217,31.5296,3
Weston,113,280187,3005,5865,38,32.3,32,5.4,1048,814,0,1594,0,1709,5,56.64,62.27,4,63.50995866,49,322.2,1105,94,0.240153499,227.37,647850.1,96336,804471.0408,536,157,679,280187,4578,4149,0.61487124,2.6,18170,8545,9625,1270,985,940,1100,1270,1420,1405,1255,1330,1440,1375,1220,925,640,520,400,350,325,4370,2235,3205,2370,17445,230,650,40,170,655,55,1400,270,320,60,90,351003.6875,5.351026,37.9992,10
Lambton Baby Point,114,806452,515,1170,16.3,14.8,0,4.5,644,94,5,1677,0,486,11,63.38,71.69,0,45.30120482,7,183.5,120,80,0.440985674,0,0,0,800289.8023,66,19,749,806452,438,1049,0.540353798,1.7,7920,3695,4220,585,535,505,475,405,435,505,590,690,660,630,565,435,265,205,155,125,160,1900,900,1630,880,7750,85,95,45,30,125,105,205,40,0,0,9,0,5.004708,41.6178,1
Mount Dennis,115,273418,1350,3640,27.7,27.7,21,1.733333333,864,545,5,1312,0,1035,3,55.49,60.13,1,54.48628545,6,232.3,1960,92,0.672325001,0,156,156,705790.7966,184,109,680,273418,2198,2937,0.695403325,2.1,13150,6210,6935,805,805,835,930,950,1020,915,855,930,1150,1045,800,615,460,365,225,200,235,2940,1515,2455,1865,12425,295,210,175,70,800,60,1290,390,65,60,72,82631,5.659364,29.9101,1
Steeles,116,440688,1175,2985,15.3,11.9,0,0,0,428,966,2173,1109,4088,0,68.59,65.21,13,39.00156006,9,143.8,0,692,0.450219119,0,2596,2596,1022877.242,237,105,778,440688,5835,1549,0.821580526,4.6,25010,12010,13010,950,940,1120,1565,1925,1905,1280,1350,1905,2070,1895,1820,1745,1195,1050,895,715,690,8105,4545,3020,3500,23975,15735,260,90,80,30,25,85,350,270,105,49,223135,2.886918,30.2621,2
L'Amoreaux,117,355438,5420,13580,36.3,30.2,12,7.733333333,1552,867,1,4168,237,3730,17,63.64,63.56,9,43.27044025,88,163.4,1735,745,0.598731588,240.96,16315,251,2262946.56,443,126,758,355438,4734,3848,0.848396954,7.1,44915,21085,23840,2230,2100,2375,3070,3125,3075,2380,2790,3320,3870,3310,2950,2610,1955,1865,1640,1270,1015,13275,7725,6695,6210,43075,15065,715,180,675,100,100,320,1125,3655,510,94,133245,4.594557,34.1213,6
Tam O'Shanter-Sullivan,118,411143,2950,7440,30.1,27.2,10,6.833333333,985,589,181,4600,262,2766,12,63.78,64.07,5,49.68461912,59,158.8,1055,371,0.348352702,0,0,0,1710828.495,343,192,756,411143,3882,1973,0.821252036,5.5,27390,12840,14555,1460,1380,1370,1560,1765,1665,1605,1850,1965,2230,1925,1655,1435,1235,1220,1190,945,970,8595,5520,4170,3305,26195,8220,340,170,420,70,65,315,820,1150,780,64,2934.510009,4.565937,37.1095,15
Wexford/Maryvale,119,422689,1335,3055,13.4,11.3,37,0.916666667,578,593,862,4777,111,7239,0,63.17,62.21,14,50.9202454,64,196.6,189,396,0.47116816,1102.08,187050.8,50349,2010846.173,945,140,735,422689,16717,3014,0.690990962,10.2,27020,13015,14005,1430,1320,1530,1740,1710,1620,1570,1665,1940,2340,2235,1830,1465,1060,990,860,900,790,7930,4615,4285,3465,25830,1255,565,155,280,145,65,515,1705,1070,400,195,60985,5.111244,39.6217,18
Clairlea-Birchmount,120,387912,1480,3600,16.9,14.5,9,3.8,273,570,91,1386,0,1063,2,61.52,64.64,4,50.92682927,12,281.3,2169,289,0.418068747,285.32,657051.4,445019,1282846.088,831,84,741,387912,15391,2688,0.708584471,7.4,24775,12095,12670,1520,1305,1420,1585,1575,1730,1830,1780,1955,2220,1925,1550,1220,775,650,605,540,580,5890,3125,4245,3170,23025,1800,460,60,230,120,75,350,1360,535,740,79,331848.3125,5.054501,38.6241,8
Oakridge,121,347446,2710,6100,51.9,45.2,9,10,1464,869,697,815,1994,151,20,57.49,60.59,0,60.49886621,7,288.1,645,79,0.25345683,0,416,416,523379.9543,201,54,704,347446,1768,2967,0.766588866,1.8,13505,6590,6915,1055,930,885,850,810,955,1035,1010,1125,1060,1035,725,555,435,340,250,205,265,2760,1480,2880,1650,12880,640,120,40,335,50,55,125,455,200,460,59,282183.3438,5.259426,33.5762,2
Birchcliffe-Cliffside,122,522905,465,745,5.1,3.4,16,13.42857143,870,283,2861,5949,0,6880,6,59.42,67.73,1,39.26342072,23,318.1,425,347,0.616075255,0,0,0,2019988.264,345,110,747,522905,3228,1789,0.370008961,6,21860,10455,11390,1060,1045,1110,1370,1200,1115,1180,1415,1615,2105,2085,1745,1510,960,705,575,530,535,6560,3315,3210,2565,21080,740,245,20,75,120,70,220,345,105,60,56,245132,4.481315,37.9681,8
Cliffcrest,123,542218,1100,2080,18.9,13.2,10,5.875,497,289,0,1668,0,320,9,59.84,64.98,0,38.40682788,8,258.9,197,238,1.432132979,0,133620.2,131557,2461970.644,200,70,748,542218,2132,1342,0.50339459,7.1,15700,7645,8060,775,840,1035,1125,985,790,695,905,1175,1410,1410,1130,1020,650,485,525,395,355,4575,2430,2655,2105,15340,560,200,40,150,65,90,200,365,415,100,38,24580,4.7402,40.555,16
Kennedy Park,124,293600,1810,3900,27.6,22.9,14,5.6875,1661,540,1156,3389,329,5115,10,56.89,59.03,1,48.33702882,17,256.9,1295,200,0.119007268,0,36,36,826781.0705,261,82,729,293600,1824,2583,0.725584944,3.6,17050,8190,8875,975,925,1030,1140,1070,1095,1070,1140,1325,1530,1370,1220,900,645,540,475,365,255,4405,2300,2940,2200,16255,1145,315,35,200,75,25,265,1305,955,225,57,16200,5.128451,37.5319,6
Ionview,125,330109,2550,5795,50.2,44.3,12,1.714285714,332,393,325,660,0,16,0,55.62,60.39,1,52.56769374,15,232.9,420,129,0.13033001,0,0,0,409684.0972,148,45,712,330109,1003,1675,0.707344308,2,13095,6205,6885,795,710,680,770,930,975,950,890,1010,1130,1010,830,685,500,420,330,265,175,3195,1680,2190,1705,12475,800,140,20,65,45,15,170,1100,1075,165,23,2040,5.000682,33.6001,4
Dorset Park,126,279189,2785,7130,32.6,29.3,13,1.875,510,515,671,2675,667,3458,7,58.71,59.91,10,57.77088182,31,196,1188,232,0.173972028,306.96,858229.8,496649,631875.4617,969,52,727,279189,12722,2803,0.798829603,6,24360,11520,12840,1690,1460,1340,1505,1500,1700,1740,1790,1755,2000,1935,1525,1190,820,655,655,540,555,5960,3245,4490,2995,22755,2410,205,50,430,70,35,290,1310,2955,870,78,25500,5.060029,32.9104,5
Bendale,127,329355,1210,3630,12,13,19,3.8,508,701,677,2373,884,3120,7,59.19,62.08,14,57.58287653,84,204.7,1645,372,0.981964797,0,127150.2,55313,1772970.419,853,200,738,329355,17680,2729,0.768222994,7.4,27870,13455,14405,1525,1460,1425,1655,2085,2030,1840,1905,1920,2080,1915,1645,1505,1135,1085,1070,850,710,8015,4855,4420,3735,26175,3585,300,175,425,110,45,335,1445,1750,970,70,28350,5.07059,35.6323,6
Agincourt South-Malvern West,128,332710,1020,2785,14.8,12.7,12,2.25,172,385,1387,4462,0,10486,0,61.83,62.68,21,42.1021553,75,156.1,350,470,0.2397495,2592.39,421649.45,236731,1400164.909,1378,135,756,332710,18329,1542,0.839875918,7.9,21990,10630,11350,1080,930,1150,1480,1630,1500,1275,1360,1605,1950,1770,1500,1325,905,850,705,565,410,6255,3435,3165,3095,21155,9370,415,70,170,60,25,130,500,1035,395,110,328204,4.131801,33.1112,12
Agincourt North,129,375307,540,1905,5.9,6.3,6,0,77,531,229,2958,0,4233,0,65.87,64.22,9,42.26002941,20,138.7,500,775,0.250098151,607.86,82592.3,16092,1254144.346,353,130,765,375307,7449,1930,0.829436197,7.3,30280,14445,15845,1320,1345,1560,2000,2165,2145,1685,1715,2125,2655,2360,2105,2000,1430,1245,1025,745,650,9225,5120,4235,4150,28950,14710,150,55,140,70,20,145,780,2845,350,75,0,3.576297,33.7874,4
Milliken,130,387879,310,825,4,3,1,6.666666667,247,404,1199,2381,499,3292,0,67.02,64.82,74,42.19229861,137,120,0,815,0.512021903,8791.76,3546500.6,222837,1043903.036,2090,220,770,387879,16901,1921,0.807339661,9.4,27160,13055,14115,1265,1200,1330,1715,2020,2055,1500,1700,1820,2205,2130,2065,1855,1145,960,850,695,700,8255,4325,3800,3710,26090,16265,45,30,60,20,0,75,675,1515,235,80,112135,3.039185,30.9314,1
Rouge,131,426850,590,1165,4.5,2.5,23,0.090909091,522,411,438,1969,334,1649,0,64.72,66.77,15,48.04214723,25,215.7,0,725,14.27145522,171.26,93419.88,56778,12888043.88,877,210,738,426850,14207,2994,0.644308811,37.6,45905,22275,23635,2670,2705,3150,3465,3475,3265,2865,2810,3170,3705,3670,3355,2790,1795,1155,800,570,535,10970,4825,8530,6925,43685,1455,255,90,410,125,35,300,2365,7140,1230,47,5060,4.982575,33.8903,2
Malvern,132,256488,1060,3175,7.9,7,32,1.166666667,927,851,2086,8044,1360,8334,9,60.42,62.57,13,51.56400717,84,205.9,2512,549,0.690798137,399.64,79469,66889,1249250.532,625,81,724,256488,11173,5078,0.708640776,8.9,45085,21560,23530,2925,3045,3250,3475,3485,3385,2930,3005,3100,3540,3095,2750,2535,1765,1160,825,490,315,9825,4545,9220,6960,42915,2885,105,70,325,100,15,445,2305,6240,2350,125,188369,4.775605,29.8452,0
Centennial Scarborough,133,491024,0,0,0,0,1,0,139,65,496,2607,65,3991,0,69.54,70.78,0,36.41364136,5,150.8,0,252,0.830824845,0,311,311,1802189.828,126,80,774,491024,951,399,0.47340375,5.4,13100,6355,6740,625,680,840,975,940,650,585,730,910,1125,1155,1010,940,760,560,305,170,120,3875,1930,2145,1915,12745,405,250,35,95,80,40,85,360,265,175,20,0,4.711154,38.9269,2
Highland Creek,134,529278,0,0,0,0,2,0,3,96,0,376,230,0,0,68.28,64.19,1,32.01219512,8,170.1,0,364,0.194054785,0,25829.6,10030,1444565.206,91,110,751,529278,1798,724,0.637194462,5.1,13100,6435,6660,445,585,710,930,1130,1020,710,585,715,1015,1085,1125,1050,740,490,345,180,245,4155,1985,1745,2055,12505,685,305,70,80,85,15,70,465,1060,215,45,21000,4.950386,33.2523,1
Morningside,135,289646,1465,3570,25,20.3,13,3.333333333,460,419,234,2750,388,788,5,59.36,61.65,5,53.64758698,32,246.4,2125,235,1.854249005,0,0,0,2317635.582,108,28,711,289646,3566,2534,0.655450155,5.6,17585,8445,9140,1080,995,1045,1375,1460,1250,1035,990,1160,1345,1355,1175,1000,670,600,470,335,260,4475,2310,3130,2845,16515,585,80,70,215,40,15,185,1075,1715,610,35,0,5.038741,35.0163,8
West Hill,136,308229,3010,5880,31.1,22.1,22,8.4,2089,725,434,3907,72,5377,21,58,61.5,1,48.36601307,33,248.9,1725,338,1.993607468,104759.13,54076528.3,371626,3403338.25,424,153,706,308229,4500,4974,0.556880414,9.6,26550,12560,14000,1575,1550,1820,2055,1870,1600,1460,1525,1935,2145,2090,1800,1515,1105,900,670,485,445,6925,3615,4950,3930,25380,575,330,60,445,90,65,435,985,810,425,79,297563,5.301753,32.5398,8
Woburn,137,316584,5090,14870,27.8,27.9,26,4.911764706,2660,1306,1137,5106,678,10365,22,56.83,60.67,6,55.62849502,93,187.8,5690,600,1.354011781,0,17463.8,2357,2746208.229,1073,214,723,316584,16190,6747,0.770734357,12.2,53350,26005,27330,3485,3415,3400,3575,4005,3825,3835,3805,3830,3945,3580,2905,2355,1950,1800,1690,1185,820,12655,7425,10295,7585,50890,3560,430,125,1070,180,70,615,2075,4665,1740,105,371010,5.021696,37.2474,22
Eglinton East,138,274020,3935,10105,48.8,44.3,33,2.588235294,865,688,0,892,245,64,4,56.7,59.1,8,53.68682684,19,214.7,1005,209,0.233048669,27469.6,901516.8,4410,656321.1838,296,143,705,274020,2351,4171,0.715061035,3.2,22830,10580,12240,1555,1500,1500,1545,1535,1450,1485,1515,1675,1745,1635,1395,1130,850,740,615,535,420,5695,3150,4535,3080,21580,915,255,55,305,90,30,325,1540,2740,340,46,94295,5.184124,35.3157,5
Scarborough Village,139,356096,2905,7860,49.2,47.3,22,4.4,922,683,1012,2101,203,3099,10,54.67,59.76,4,55.69514238,24,239.2,2157,115,0.28632843,0,0,0,1127497.011,228,217,699,356096,1851,4133,0.697737056,3.1,16615,7825,8790,1200,1140,1150,1240,1220,1035,1040,1045,1205,1280,1155,1080,795,525,430,360,335,360,3885,2000,3485,2445,15860,330,160,35,525,50,40,250,505,1625,865,32,253268.125,5.178616,32.939,6
Guildwood,140,444309,605,1020,15.3,10.4,3,0,0,62,0,1801,0,1483,0,64.99,71.48,0,31.79723502,7,188.6,150,179,0.697039334,0,0,0,1681205.082,67,171,774,444309,924,309,0.414015747,3.8,9815,4550,5270,370,440,485,565,510,395,395,515,650,710,855,780,650,560,500,570,470,420,3920,2490,1285,1075,9495,185,110,30,70,40,50,95,165,75,25,18,15000,4.513205,43.0591,14
